VEH_ID,DEPOT_ID,DEPOT_NM,MODEL_NUM
VG8917,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG8058,M002,KAJANG,SCANIA K250 MRT
VAJ2895,M001,SUNGAI BULOH,VOLVO B7R MRT
VH1373,M001,SUNGAI BULOH,VOLVO B7R MRT
VH1385,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8765,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG8541,M002,KAJANG,SCANIA K250 MRT
VH4557,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ6442,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5738,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2913,M002,KAJANG,SCANIA K250 MRT
VG8654,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5442,M002,KAJANG,SCANIA K250 MRT
VAE7340,M002,KAJANG,SCANIA K250 MRT
VH4270,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4930,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ6234,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4335,M001,SUNGAI BULOH,VOLVO B7R MRT
VAC5746,M001,SUNGAI BULOH,VOLVO B7R MRT
VK6295,M002,KAJANG,SCANIA K250 MRT
VK2906,M002,KAJANG,SCANIA K250 MRT
VH3982,M002,KAJANG,SCANIA K250 MRT
VAF5430,M002,KAJANG,SCANIA K250 MRT
VAF5765,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2559,M002,KAJANG,SCANIA K250 MRT
VH4586,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4872,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ9068,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5464,M002,KAJANG,SCANIA K250 MRT
VAF7146,M002,KAJANG,SCANIA K250 MRT
VAF5756,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6529,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ2854,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4920,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5761,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9042,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4189,M002,KAJANG,SCANIA K250 MRT
VG8755,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9044,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5746,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK1014,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2485,M002,KAJANG,SCANIA K250 MRT
VAG4715,M002,KAJANG,SCANIA K250 MRT
VM1879,M002,KAJANG,SCANIA K250 MRT
VH4643,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4356,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6491,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ7134,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4043,M002,KAJANG,SCANIA K250 MRT
VAF5438,M002,KAJANG,SCANIA K250 MRT
VH4921,M001,SUNGAI BULOH,VOLVO B7R MRT
VX2897,M002,KAJANG,SCANIA K250 MRT
VAF5780,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2491,M002,KAJANG,SCANIA K250 MRT
VAH9062,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6514,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5451,M002,KAJANG,SCANIA K250 MRT
VH1382,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4215,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2049,M002,KAJANG,SCANIA K250 MRT
VAG4892,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2675,M002,KAJANG,SCANIA K250 MRT
VAJ2869,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8769,M001,SUNGAI BULOH,VOLVO B7R MRT
VX3035,M002,KAJANG,SCANIA K250 MRT
VH4604,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF691,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2961,M002,KAJANG,SCANIA K250 MRT
VH4925,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7159,M002,KAJANG,SCANIA K250 MRT
VH4206,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5752,M001,SUNGAI BULOH,VOLVO B7R MRT
VK6448,M002,KAJANG,SCANIA K250 MRT
VH1552,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK967,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK1045,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4913,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2607,M002,KAJANG,SCANIA K250 MRT
VH4992,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5762,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4890,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK985,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4046,M002,KAJANG,SCANIA K250 MRT
VAF5750,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ6284,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2480,M002,KAJANG,SCANIA K250 MRT
VH4307,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG8053,M002,KAJANG,SCANIA K250 MRT
VAF5250,M002,KAJANG,SCANIA K250 MRT
VH4069,M002,KAJANG,SCANIA K250 MRT
VH4053,M002,KAJANG,SCANIA K250 MRT
VK6274,M002,KAJANG,SCANIA K250 MRT
VAJ2852,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5743,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4096,M002,KAJANG,SCANIA K250 MRT
VH4283,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ2857,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7134,M002,KAJANG,SCANIA K250 MRT
VM1930,M002,KAJANG,SCANIA K250 MRT
VH2540,M002,KAJANG,SCANIA K250 MRT
VAG4871,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7157,M002,KAJANG,SCANIA K250 MRT
VH2544,M002,KAJANG,SCANIA K250 MRT
VX2960,M002,KAJANG,SCANIA K250 MRT
VH2055,M002,KAJANG,SCANIA K250 MRT
VG8849,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5441,M002,KAJANG,SCANIA K250 MRT
VK6460,M002,KAJANG,SCANIA K250 MRT
VG8703,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4236,M001,SUNGAI BULOH,VOLVO B7R MRT
VX2919,M002,KAJANG,SCANIA K250 MRT
VAG4680,M002,KAJANG,SCANIA K250 MRT
VAF6410,M002,KAJANG,SCANIA K250 MRT
VAG4876,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2745,M002,KAJANG,SCANIA K250 MRT
VAG8049,M002,KAJANG,SCANIA K250 MRT
VX3739,M002,KAJANG,SCANIA K250 MRT
VH4073,M002,KAJANG,SCANIA K250 MRT
VH4985,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9043,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8794,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4062,M002,KAJANG,SCANIA K250 MRT
VAG8051,M002,KAJANG,SCANIA K250 MRT
VAJ1480,M002,KAJANG,SCANIA K250 MRT
VAG4750,M002,KAJANG,SCANIA K250 MRT
VM1897,M002,KAJANG,SCANIA K250 MRT
VX3537,M002,KAJANG,SCANIA K250 MRT
VK2934,M002,KAJANG,SCANIA K250 MRT
VAG4673,M002,KAJANG,SCANIA K250 MRT
VAE7147,M002,KAJANG,SCANIA K250 MRT
VG8748,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9154,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2537,M002,KAJANG,SCANIA K250 MRT
VG8934,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8630,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK1034,M001,SUNGAI BULOH,VOLVO B7R MRT
VX2890,M002,KAJANG,SCANIA K250 MRT
VG8643,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8690,M001,SUNGAI BULOH,VOLVO B7R MRT
VAC5791,M001,SUNGAI BULOH,VOLVO B7R MRT
VX3578,M002,KAJANG,SCANIA K250 MRT
VAE7196,M002,KAJANG,SCANIA K250 MRT
VAJ2870,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6519,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2494,M002,KAJANG,SCANIA K250 MRT
VK6475,M002,KAJANG,SCANIA K250 MRT
VAF5461,M002,KAJANG,SCANIA K250 MRT
VH3743,M002,KAJANG,SCANIA K250 MRT
VAG6349,M002,KAJANG,SCANIA K250 MRT
VH2534,M002,KAJANG,SCANIA K250 MRT
VAG4730,M002,KAJANG,SCANIA K250 MRT
VH3585,M002,KAJANG,SCANIA K250 MRT
VK6258,M002,KAJANG,SCANIA K250 MRT
VH2487,M002,KAJANG,SCANIA K250 MRT
VAE7225,M002,KAJANG,SCANIA K250 MRT
VH1579,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2524,M002,KAJANG,SCANIA K250 MRT
VG8671,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2549,M002,KAJANG,SCANIA K250 MRT
VAG8054,M002,KAJANG,SCANIA K250 MRT
VAG4729,M002,KAJANG,SCANIA K250 MRT
VAF6417,M002,KAJANG,SCANIA K250 MRT
VAE7408,M002,KAJANG,SCANIA K250 MRT
VH2059,M002,KAJANG,SCANIA K250 MRT
VH2687,M002,KAJANG,SCANIA K250 MRT
VK2853,M002,KAJANG,SCANIA K250 MRT
VH4089,M002,KAJANG,SCANIA K250 MRT
VH4964,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4725,M002,KAJANG,SCANIA K250 MRT
VH1570,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7042,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2044,M002,KAJANG,SCANIA K250 MRT
VK6243,M002,KAJANG,SCANIA K250 MRT
VAF5904,M001,SUNGAI BULOH,VOLVO B7R MRT
VX2856,M002,KAJANG,SCANIA K250 MRT
VAJ8965,M001,SUNGAI BULOH,VOLVO B7R MRT
VH3745,M002,KAJANG,SCANIA K250 MRT
VAF5766,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4030,M002,KAJANG,SCANIA K250 MRT
VH4924,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7564,M002,KAJANG,SCANIA K250 MRT
VH3751,M002,KAJANG,SCANIA K250 MRT
VK2684,M002,KAJANG,SCANIA K250 MRT
VAE7492,M002,KAJANG,SCANIA K250 MRT
VH3694,M002,KAJANG,SCANIA K250 MRT
VAF5489,M002,KAJANG,SCANIA K250 MRT
VX3097,M002,KAJANG,SCANIA K250 MRT
VH4920,M001,SUNGAI BULOH,
